За меня работал только мой здравый смысл, подхлестнутый необычайностью обстановки. Я кругообразно и ловко, как опытный мясник, острейшим ножом полоснул бедро, и кожа разошлась, не дав ни одной росинки крови. Сосуды начнут кровить, что я буду делать? - думал я и, как волк, косился на груду торзионных пинцетов. Я срезал громадный кус женского мяса и один из сосудов - он был в виде беловатой трубочки, - но ни капли крови не выступило из него. Я зажал его торзионным пинцетом и двинулся дальше. Я натыкал эти  торзионные пинцеты всюду, где предполагал сосуды Артериа... артериа... как,  черт, ее?... В операционной стало похоже на клинику. Торзионные пинцеты  висели гроздьями. Их марлей оттянули кверху вместе с мясом, и я стал  мелкозубой ослепительной пилой пилить круглую кость почему не умирает?...  Это удивительно... ох, как живуч человек!;9.1
Потом вязали лигатурами, потом, шелкая колленом, я стал редкими швами  зашивать кожу... но остановился, осененный, сообразил... оставил сток...  вложил марлевый тампон... Пот застилал мне глаза, и мне казалось, будто я в  бане…;9.1
Отдулся. Тяжело посмотрел на культю, на восковое лицо. Спросил:   - Жива?;9.1
Рак сдох.;9.1
Молча, стиснув зубы, она боролась с ним, в странной запальчивости своей предпочитая умереть, чем принять жизнь из его рук. Она отлично знала, чем это должно кончиться. У Кольбера был теперь шанс стать ее мужем - и, без слов, без мыслей, заключив все это в одном инстинкте своем, она отчаянно билась в его руках. Вне себя Кольбер подтащил ее к дереву с раздвоенным стволом и, протиснув в это раздвоение ее руку, причем ободрал кожу, зашел сам с другой стороны. Здесь он схватил Джой за кисть. Теперь ее рука была как в тисках.;9.1
Тут Демьян Лукич резким, как бы злобным движением от края до верху  разорвал юбку и сразу ее обнажил. Я глянул, и то, что я увидал, превысило  мои ожидания. Левой ноги, собственно, не было. Начиная от раздробленного  колена, лежала кровавая рвань, красные мятые мышцы и остро во все стороны  торчали белые раздавленные кости. Правая была переломлена в голени так, что  обе кости концами выскочили наружу, пробив кожу. От этого ступня ее  безжизненно, как бы отдельно, лежала, повернувшись набок.;9
Все светлело в мозгу, и вдруг без всяких учебников, без советов, без  помощи я соображал - уверенность, что сообразил, была железной, - что сейчас  мне придется в первый раз в жизни на угасшем человеке делать ампутацию. И  человек этот умрет под ножом. Ах, под ножом умрет. Ведь у нее же нет крови!  За десять верст вытекло все через раздробленные ноги, и неизвестно даже,  чувствует ли она что-нибудь сейчас, слышит ли. Она молчит. Ах, почему она не  умирает? Что скажет мне безумный отец?;9
- Готовьте ампутацию, - сказал я фельдшеру чужим голосом.;9
И кость отпала. В руках у Демьяна Лукича осталось то, что было девичьей  ногой. Лохмы мяса, кости! Все это отбросили в сторону, и на столе оказалась  девушка, как будто укороченная на треть, с оттянутой в сторону культей.  Еще, еще немножко... не умирай, - вдохновенно думал я, - потерпи до палаты,  дай мне выскочить благополучно из этого ужасного случая моей жизни.;9
- Высосать яд! - кричал он. - Больше ничего не поможет! Джой, не  спорьте!;9
Удивленная девушка позвала: Кольбер! Ничего не прощая ему, все еще во власти внутреннего насилия, которым Кольбер окончательно одержал верх, девушка направилась по следу смятой травы, и, заглянув в кусты, остановилась.;9
Гробовщик благополучно дошел до Никитских ворот. У Вознесения окликал его знакомец наш Юрко и, узнав гробовщика, пожелал ему доброй ночи. Было поздно. Гробовщик подходил уже к своему дому, как вдруг показалось ему, что кто-то подошел к его воротам, отворил калитку и в нее скрылся. «Что бы это значило?— подумал Адриан.— Кому опять до меня нужда? Уж не вор ли ко мне забрался? Не ходят ли любовники к моим дурам? Чего доброго!» И гробовщик думал уже кликнуть себе на помощь приятеля своего Юрку. В эту минуту кто-то еще приближился к калитке и собирался войти, но, увидя бегущего хозяина, остановился и снял треугольную шляпу. Адриану лицо его показалось знакомо, но второпях не успел он порядочно его разглядеть. «Вы пожаловали ко мне,— сказал запыхавшись Адриан,— войдите же, сделайте милость».— «Не церемонься, батюшка,— отвечал тот глухо,— ступай себе вперед, указывай гостям дорогу!» Адриану и некогда было церемониться. Калитка была отперта, он пошел на лестницу, и тот за ним. Адриану показалось, что по комнатам его ходят люди. «Что за дьявольщина!» — подумал он и спешил войти... тут ноги его подкосились. Комната полна была мертвецами. Луна сквозь окна освещала их желтые и синие лица, ввалившиеся рты, мутные, полузакрытые глаза и высунувшиеся носы... Адриан с ужасом узнал в них людей, погребенных его стараниями, и в госте, с ним вместе вошедшем, бригадира, похороненного во время проливного дождя. Все они, дамы и мужчины, окружили гробовщика с поклонами и приветствиями, кроме одного бедняка, недавно даром похороненного, который, совестясь и стыдясь своего рубища, не приближался и стоял смиренно в углу. Прочие все одеты были благопристойно: покойницы в чепцах и лентах, мертвецы чиновные в мундирах, но с бородами небритыми, купцы в праздничных кафтанах. «Видишь ли, Прохоров,— сказал бригадир от имени всей честной компании,— все мы поднялись на твое приглашение, остались дома только те, которым уже невмочь, которые совсем развалились, да у кого остались одни кости без кожи, но и тут один не утерпел — так хотелось ему побывать у тебя...» В эту минуту маленький скелет продрался сквозь толпу и приближился к Адриану. Череп его ласково улыбался гробовщику. Клочки светло-зеленого и красного сукна и ветхой холстины кой-где висели на нем, как на шесте, а кости ног бились в больших ботфортах, как пестики в ступах. «Ты не узнал меня, Прохоров,— сказал скелет.— Помнишь ли отставного сержанта гвардии Петра Петровича Курилкина, того самого, которому, в 1799 году, ты продал первый свой гроб — и еще сосновый за дубовый?» С сим словом мертвец простер ему костяные объятия — но Адриан, собравшись с силами, закричал и оттолкнул его. Петр Петрович пошатнулся, упал и весь рассыпался. Между мертвецами поднялся ропот негодования, все вступились за честь своего товарища, пристали к Адриану с бранью и угрозами, и бедный хозяин, оглушенный их криком и почти задавленный, потерял присутствие духа, сам упал на кости отставного сержанта гвардии и лишился чувств.  ;8.9
Но вдруг сурово сказал, не узнавая своего голоса:   - Камфары.;8.9
Фельдшер тоже, видимо, не одобрял камфары. Тем не менее он ловко и  быстро взялся за шприц, и желтое масло ушло под кожу плеча.;8.9
Неужели же не умрет?... - отчаянно подумал я. Неужели придется...;8.9
Безумная паника охватила толпу. Бежали, сами не зная куда, опрокидывая и топча друг друга. Слышался предсмертный храп двух баб, подавившихся собственными языками, а над ними громкий вой старика:   -- Бейте меня, православные! Моя волюшка в энтих бабах дохнет! ;8.9
- Пустите, - сказала она, бурно дыша. - Я сама. Дайте мне нож.;8.9
В такой момент время дороже жизни. Раскрыв нож, Кольбер старался повалить девушку, чтобы совершить операцию. В то же время он быстро обвел языком десны и небо, чтобы установить, нет ли у него царапин во рту.;8.9
Кольбер молчал. Отпустив наконец ее руку, он понял, что она говорила, и ответил:  - Вы будете чьей-нибудь женой, а это главное. Чтоб быть женой, надо жить.;8.9
Однажды вечером ездили мы вместе верхом, лошадь у жены что-то заупрямилась, она испугалась, отдала мне поводья и пошла пешком домой, я поехал вперед. На дворе увидел я дорожную телегу, мне сказали, что у меня в кабинете сидит человек, не хотевший объявить своего имени, но сказавший просто, что ему до меня есть дело. Я вошел в эту комнату и увидел в темноте человека, запыленного и обросшего бородой, он стоял здесь у камина. Я подошел к нему, стараясь припомнить его черты. «Ты не узнал меня, граф?» — сказал он дрожащим голосом. «Сильвио!» — закричал я, и, признаюсь, я почувствовал, как волоса стали вдруг на мне дыбом. «Так точно, — продолжал он, — выстрел за мною, я приехал разрядить мой пистолет, готов ли ты?» Пистолет у него торчал из бокового кармана. Я отмерил двенадцать шагов и стал там в углу, прося его выстрелить скорее, пока жена не воротилась. Он медлил — он спросил огня. Подали свечи. Я запер двери, не велел никому входить и снова просил его выстрелить. Он вынул пистолет и прицелился... Я считал секунды... я думал о ней... Ужасная прошла минута! Сильвио опустил руку. «Жалею, — сказал он, — что пистолет заряжен не черешневыми косточками... пуля тяжела. Мне все кажется, что у нас не дуэль, а убийство: я не привык целить в безоружного. Начнем сызнова, кинем жребий, кому стрелять первому». Голова моя шла кругом... Кажется, я не соглашался... Наконец мы зарядили еще пистолет, свернули два билета, он положил их в фуражку, некогда мною простреленную, я вынул опять первый нумер. «Ты, граф, дьявольски счастлив», — сказал он с усмешкою, которой никогда не забуду. Не понимаю, что со мною было и каким образом мог он меня к тому принудить... но — я выстрелил, и попал вот в эту картину. (Граф указывал пальцем на простреленную картину, лицо его горело как огонь, графиня была бледнее своего платка: я не мог воздержаться от восклицания.) ;8.9
Светлые, чуть рыжеватые волосы свешивались со стола сбившимся засохшим  колтуном. Коса была гигантская, и конец ее касался пола. Ситцевая юбка была  изорвана, и кровь на ней разного цвета - пятно бурое, пятно жирное, алое.  Свет молнии показался мне желтым и живым, а ее лицо бумажным, белым, нос  заострен.;8.8
Тут я вышел из оцепенения и взялся за ее пульс. В холодной руке его не  было. Лишь после нескольких секунд нашел я чуть заметную редкую волну. Она  прошла... потом была пауза, во время которой я успел глянуть на синеющие  крылья носа и белые губы... Хотел уже сказать: конец... по счастью,  удержался... Опять прошла ниточкой волна.;8.8
Я злобно и мрачно оглянулся на нее и сказал:  - Попрошу камфары…;8.8
- Сейчас помрет, - как бы угадал мою мысль, шепнул фельдшер. Он  покосился на простыню, но, видимо, раздумал: жаль было кровавить простыню.  Однако через несколько секунд ее пришлось прикрыть. Она лежала, как труп, но  она не умерла. В голове моей вдруг стало светло, как под стеклянным потолком  нашего далекого анатомического театра.;8.8
Прошло четверть часа. С суеверным ужасом я вглядывался в угасший глаз,  продымая холодное веко. Ничего не постиг. Как может жить полутруп? Капли  пота неудержимо бежали у меня по лбу из-под белого колпака, и марлей Пелагея  Ивановна вытирала соленый пот. В остатках крови в жилах у девушки теперь  плавал и кофеин. Нужно было его впрыскать или нет? На бедрах Анна  Николаевна, чуть-чуть касаясь, гладила бугры, набухшие от физиологического  раствора. А девушка жила.;8.8
Я взял нож, стараясь подражать (раз в жизни в университете я видел  ампутацию) кому-то... Я умолял теперь судьбу, чтобы уж в ближайшие полчаса  она не померла... Пусть умрет в палате, когда я окончу операцию...;8.8
Немного покусав карандаш, служащий набросал черновик.;8.7
Уже эту бумажку хотели послать на склад, но тут к директору явилась машинистка и сказала, что она сейчас звонила своей мамаше, старой машинистке с тридцатилетним стажем. И та её заверила, что нужно писать — пять кочерёг. Или пять кочерг.;8.7
Толпа шарахнулась. Многие, взвизгнув, бросились бежать.   -- Что такое? Что же это?;8.7
Но никто не слушал и не трогал его, потому что все в ужасе смотрели на дико визжавшую длинную старуху в лисьей ротонде, она вдруг закружилась и на глазах у всех словно юркнула в землю. ;8.7
Жуткая ночь сменила кошмарный вечер. Никто не спал. Вспоминали собственные черные желания и ждали исполнения над собою чужих желаний.;8.7
Он не успел сказать, что по безжизненному телу прошла едва заметная спазма. Змея ожила на мгновение, только затем, чтобы, почувствовав враждебное тепло человеческой руки, открыть рот и ущемить руку Джой. Это усилие совершенно умертвило ее. Кольбер схватил змею у головы и так сдавил, что она порвалась, потом сбросил с руки Джой остаток туловища и увидел две капли крови, смысл которых был ему понятен, как крик.;8.7
- Не теряться! - сказал ей. - Помните, что смерть - здесь!;8.7
Его тело разрывалось от дрожи, которую он сдерживал. Джой беспомощно смотрела на свою укушенную руку. Она испытала гадливую боль, но ее воображение не действовало так быстро, как у Кольбера, и сознание конца не оглушило еще ее. Но резкость и приказания Кольбера вооружили всю ее самостоятельность, очутившуюся в опасности от той крупной услуги, которую собрался оказать Кольбер.;8.7
Крепко сдавив эту ненавидящую его руку у локтя, причем его огромная сила заставила посинеть ногти Джой, Кольбер глубоко просек тело в месте укуса и, припав к ране, наполнил рот кровью. Сплюнув ее, он сделал это еще раз и, отдышавшись, в третий раз отсосал кровь любимой девушки, которая, дернув руку раза два, наконец, затихла. Она стояла с другой стороны, прислонясь к дереву. Страх, унижение и гнев покрыли ее лицо злыми слезами. Она твердила   - Кольбер, я все равно никогда не буду вашей женой. Пустите меня!;8.7
Его усы и подбородок были в крови, и он вытер их такой же красной от крови рукой.;8.7
Лампа молния с покривившимся жестяным абажуром горела жарко, двумя  рогами. На операционном столе, на белой, свежепахнущей, клеенке я ее увидел,  и грыжа померкла у меня в памяти.;8.6
Так, что Анна Николаевна с вспыхнувшим, обиженным лицом сейчас же  бросилась к столику и сломала ампулу.;8.6
Умирай. Умирай скорее, - подумал я, - умирай. А то что же я буду  делать с тобой?;8.6
- Камфары еще, - хрипло сказал я.;8.6
